Unnamed: 0,UPRN,Address,raw_Construction_type,Processed_Construction_Type,Other_Attributes,BRE_mapping_matches,BRE_Class,Latitude,Longitude
3843,1019030,36 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3844,1019052,38 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3845,1019063,40 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3846,1019085,42 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3847,1019096,44 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3848,1019109,46 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3849,1019110,48 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3850,1019870,86 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3851,1019881,88 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3852,1019892,90 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3853,1019905,92 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3854,1019916,94 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3855,1020311,1 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3856,1020322,11 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3857,1020333,3 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3858,1020344,5 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3859,1020355,9 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3860,1020537,44 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3861,1020559,48 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3862,1020571,50 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3863,1020593,62 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3864,1020606,64 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3865,1020617,66 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3866,1020640,70 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3867,1020651,72 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3868,1020662,74 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3869,1020673,76 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3870,1020708,81 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3871,1020719,82 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
3872,,10 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.91052285,-2.085873226395761
3873,,14 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.91052285,-2.085873226395761
3874,,15 ELMFIELD AVENUE CHELTENHAM GL51 9JG,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9102171,-2.086057350000004
3875,,17 ELMFIELD AVENUE CHELTENHAM GL51 9JG,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.91018275,-2.0859744999999963
3876,,18 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9104107,-2.0856113083634176
3877,,19 ELMFIELD AVENUE CHELTENHAM GL51 9JG,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9101211,-2.0858311000000045
3878,,20 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9104107,-2.0856113083634176
3879,,22 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9104107,-2.0856113083634176
3880,,23 ELMFIELD AVENUE CHELTENHAM GL51 9JG,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100765,-2.0856206499999996
3881,,24 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9104107,-2.0856113083634176
3882,,25 ELMFIELD AVENUE CHELTENHAM GL51 9JG,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100428,-2.0855425500000004
3883,,26 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.91030105,-2.0853611215703003
3884,,28 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.91030105,-2.0853611215703003
3885,,30 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.91030105,-2.0853611215703003
3886,,32 ELMFIELD AVENUE CHELTENHAM GL51 9JQ,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.91030105,-2.0853611215703003
3887,,1 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100453,-2.0851908
3888,,6 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9094406,-2.085424150000004
3889,,8 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9094896,-2.0853711499999994
3890,,9 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100453,-2.0851908
3891,,10 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9095981,-2.085422750000004
3892,,14 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9096988,-2.0853181606245466
3893,,15 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100453,-2.0851908
3894,,16 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9097492,-2.0852658393754533
3895,,18 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.90981545,-2.085170450000004
3896,,19 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100453,-2.0851908
3897,,21 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100453,-2.0851908
3898,,22 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9099657,-2.0849847308391354
3899,,23 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9097523,-2.0857528999999992
3900,,24 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9099657,-2.0849847308391354
3901,,26 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9099657,-2.0849847308391354
3902,,27 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.909851200000006,-2.085645999999996
3903,,28 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.9099657,-2.0849847308391354
3904,,29 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9099006,-2.0855924999999997
3905,,30 MIDWINTER AVENUE CHELTENHAM GL51 9JF,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.9100665,-2.08485339614513
3906,,1 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3907,,5 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3908,,9 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3909,,11 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3910,,15 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3911,,17 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3912,,19 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.89946045,-2.1160281823322933
3913,,21 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.89946045,-2.1160281823322933
3914,,25 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.89944165,-2.115920891881661
3915,,27 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8993128,-2.115776349999999
3916,,29 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8993128,-2.115776349999999
3917,,31 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992139,-2.11580182760364
3918,,33 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992139,-2.11580182760364
3919,,35 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.89913355,-2.116008
3920,,37 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'House'},Cornish Unit Type I,PCC,51.89913645,-2.1161045763425923
3921,,39 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3922,,41 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3923,,47 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3924,,49 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3925,,51 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3926,,53 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3927,,55 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3928,,57 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3929,,59 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3930,,61 PITMAN ROAD CHELTENHAM GL51 7UD,cornish,cornish,{'House Type': 'Flat'},Cornish Unit Type I,PCC,51.8992931,-2.1161695
3931,4588114800,148  OAKLEY ROAD  SOUTHAMPTON  SO16 4NY   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.92212395,-1.4477574492833063
3932,4588115000,150  OAKLEY ROAD  SOUTHAMPTON  SO16 4NY   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.922209,-1.4470975
3933,4798100100,1  PEAK CLOSE  SOUTHAMPTON  SO16 4QY   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.92187225,-1.4480010702622437
3934,4798100700,7  PEAK CLOSE  SOUTHAMPTON  SO16 4QY   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.92162355,-1.447982750143212
3935,4798100800,8  PEAK CLOSE  SOUTHAMPTON  SO16 4QY   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9216442,-1.4480941499999993
3936,4831107600,76  PENNINE ROAD  SOUTHAMPTON  SO16 4QS   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9201432,-1.4497709896283282
3937,4831107821,78  PENNINE ROAD  SOUTHAMPTON  SO16 4QS   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9201715,-1.4496815725723795
3938,4831108200,82  PENNINE ROAD  SOUTHAMPTON  SO16 4QS   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9202637,-1.44946725
3939,4831108421,84  PENNINE ROAD  SOUTHAMPTON  SO16 4QS   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9203026,-1.4493846357583178
3940,4831108621,86  PENNINE ROAD  SOUTHAMPTON  SO16 4QS   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9203395,-1.4493058999999957
3941,4831109000,90  PENNINE ROAD  SOUTHAMPTON  SO16 4QS   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.92044395,-1.4491256777911934
3942,4831109200,92  PENNINE ROAD  SOUTHAMPTON  SO16 4QW   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9206571,-1.448822966527897
3943,4831109621,96  PENNINE ROAD  SOUTHAMPTON  SO16 4QW   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9207955,-1.448671180756028
3944,4831110000,100  PENNINE ROAD  SOUTHAMPTON  SO16 4QW   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.920903300000006,-1.4485687597525212
3945,4831110421,104  PENNINE ROAD  SOUTHAMPTON  SO16 4QW   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9210563,-1.4484379999999977
3946,4831110800,108  PENNINE ROAD  SOUTHAMPTON  SO16 4QW   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9213772,-1.4482410754785668
3947,4831111000,110  PENNINE ROAD  SOUTHAMPTON  SO16 4QW   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.92143695,-1.4482133250638105
3948,6244100100,1  WAVELL ROAD  SOUTHAMPTON  SO18 4RZ   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9194398,-1.3591909
3949,6244100700,7  WAVELL ROAD  SOUTHAMPTON  SO18 4RZ   ,cornish,cornish,"{'Owner': ('SCC',)}",Cornish Unit Type I,PCC,50.9194398,-1.3591909
3950,120170700,70  COLESTRETE    SG1 1RA    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.900792,-0.1853186
3951,120180190,19  POPPY MEAD    SG1 1QZ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8997518,-0.185836
3952,120330060,6  HILLMEAD    SG1 1NT    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9051103,-0.1834676
3953,120341060,106  SHEPHALL VIEW    SG1 1RP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9007668,-0.1831912
3954,120341080,108  SHEPHALL VIEW    SG1 1RP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9007668,-0.1831912
3955,120540050,5  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3956,120540060,6  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3957,120540090,9  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3958,120540120,12  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3959,120280170,17  EAST CLOSE    SG1 1PP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9050321,-0.1883614
3960,120280180,18  EAST CLOSE    SG1 1PP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9050321,-0.1883614
3961,120280190,19  EAST CLOSE    SG1 1PP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9050321,-0.1883614
3962,120341100,110  SHEPHALL VIEW    SG1 1RP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9007668,-0.1831912
3963,120341140,114  SHEPHALL VIEW    SG1 1RP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9007668,-0.1831912
3964,120341160,116  SHEPHALL VIEW    SG1 1RP    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9007668,-0.1831912
3965,120341240,124  SHEPHALL VIEW    SG1 1RR    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8988316,-0.183738
3966,120341260,126  SHEPHALL VIEW    SG1 1RR    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8988316,-0.183738
3967,120341300,130  SHEPHALL VIEW    SG1 1RR    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8988316,-0.183738
3968,120341360,136  SHEPHALL VIEW    SG1 1RR    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.8988316,-0.183738
3969,120212260,226  BEDWELL CRESCENT    SG1 1NG    ,cornish,cornish,"{'Owner': 'SBC - NO INVESTMENT', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9016813,-0.1890829
3970,120212300,230  BEDWELL CRESCENT    SG1 1NG    ,cornish,cornish,"{'Owner': 'SBC - NO INVESTMENT', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9016813,-0.1890829
3971,120212240,224  BEDWELL CRESCENT    SG1 1NG    ,cornish,cornish,"{'Owner': 'SBC - NO INVESTMENT', 'Archetype_Description': '3 Bed Non-Trad House 1945-1964'}",Cornish Unit Type I,PCC,51.9016813,-0.1890829
3972,120170650,65  COLESTRETE    SG1 1RE    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.900792,-0.1853186
3973,120170670,67  COLESTRETE    SG1 1RE    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.900792,-0.1853186
3974,120170710,71  COLESTRETE    SG1 1RE    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.900792,-0.1853186
3975,120170730,73  COLESTRETE    SG1 1RE    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.900792,-0.1853186
3976,120180010,1  POPPY MEAD    SG1 1QZ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8997518,-0.185836
3977,120180030,3  POPPY MEAD    SG1 1QZ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8997518,-0.185836
3978,120180050,5  POPPY MEAD    SG1 1QZ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8997518,-0.185836
3979,120180110,11  POPPY MEAD    SG1 1QZ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8997518,-0.185836
3980,120330040,4  HILLMEAD    SG1 1NT    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.9051103,-0.1834676
3981,120540010,1  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3982,120540020,2  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3983,120540110,11  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3984,120540160,16  TWINWOODS    SG1 1RJ    ,cornish,cornish,"{'Owner': 'SBC', 'Archetype_Description': '3 Bed Non-Trad House Post 1974'}",Cornish Unit Type I,PCC,51.8999627,-0.1845769
3985,,3 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3986,,4 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1958-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3987,,8 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3988,,9 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'ENDTERR'}",Cornish Unit Type I,PCC,,
3989,,10 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'MIDTERR'}",Cornish Unit Type I,PCC,,
3990,,11 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1958-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3991,,12 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3992,,14 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'SEMIDET'}",Cornish Unit Type I,PCC,,
3993,,16 The Meads Weston Rhyn Oswestry SY10 7SH,cornish,cornish,"{'Year_Built': Timestamp('1958-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3994,,58 The Meads Weston Rhyn Oswestry SY10 7SJ,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3995,,59 The Meads Weston Rhyn Oswestry SY10 7SJ,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3996,,60 The Meads Weston Rhyn Oswestry SY10 7SJ,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'SEMIDET'}",Cornish Unit Type I,PCC,,
3997,,61 The Meads Weston Rhyn Oswestry SY10 7SJ,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3998,,62 The Meads Weston Rhyn Oswestry SY10 7SJ,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
3999,,63 The Meads Weston Rhyn Oswestry SY10 7SJ,cornish,cornish,"{'Year_Built': Timestamp('1952-01-01 00:00:00'), 'House Type': 'HOUSE'}",Cornish Unit Type I,PCC,,
